Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,13.130000114440918,13.479999542236328,12.960000038146973,13.079999923706055,12.975436210632324,8465300
2019-11-18,13.050000190734863,13.40999984741211,12.880000114440918,13.279999732971191,13.173837661743164,8908800
2019-11-19,13.420000076293945,13.460000038146973,12.739999771118164,12.829999923706055,12.727434158325195,9281900
2019-11-20,12.670000076293945,13.210000038146973,12.59000015258789,12.779999732971191,12.677834510803223,11834500
2019-11-21,12.850000381469727,13.100000381469727,12.5600004196167,12.880000114440918,12.7770357131958,7504100
2019-11-22,13.0600004196167,13.6899995803833,13.0,13.460000038146973,13.352399826049805,12499000
2019-11-25,13.5600004196167,13.989999771118164,13.420000076293945,13.789999961853027,13.67976188659668,11511200
2019-11-26,13.819999694824219,13.9399995803833,13.609999656677246,13.680000305175781,13.57064151763916,8333700
2019-11-27,13.600000381469727,13.930000305175781,13.59000015258789,13.930000305175781,13.818641662597656,7259000
2019-11-29,13.739999771118164,13.75,12.520000457763672,13.119999885559082,13.015116691589355,24312100
2019-12-02,13.279999732971191,13.720000267028809,13.180000305175781,13.670000076293945,13.56071949005127,12541100
2019-12-03,13.300000190734863,13.300000190734863,12.75,13.140000343322754,13.03495979309082,14249300
2019-12-04,13.260000228881836,13.75,13.170000076293945,13.34000015258789,13.233359336853027,13412300
2019-12-05,13.4399995803833,13.479999542236328,13.020000457763672,13.329999923706055,13.223437309265137,9670300
2019-12-06,13.579999923706055,14.119999885559082,13.579999923706055,13.9399995803833,13.82856273651123,15431200
2019-12-09,14.109999656677246,14.4399995803833,14.020000457763672,14.09000015258789,13.977365493774414,11718100
2019-12-10,14.0,14.109999656677246,13.739999771118164,13.890000343322754,13.778963088989258,10548900
2019-12-11,13.949999809265137,14.520000457763672,13.850000381469727,13.899999618530273,13.788881301879883,13186500
2019-12-12,13.739999771118164,14.420000076293945,13.600000381469727,14.229999542236328,14.116243362426758,13811200
2019-12-13,14.229999542236328,14.359999656677246,13.609999656677246,13.710000038146973,13.600401878356934,14176100
2019-12-16,13.770000457763672,13.960000038146973,13.109999656677246,13.180000305175781,13.074637413024902,18899100
2019-12-17,13.180000305175781,13.630000114440918,13.0600004196167,13.479999542236328,13.372238159179688,13079700
2019-12-18,13.460000038146973,13.6899995803833,13.239999771118164,13.609999656677246,13.501199722290039,10264700
2019-12-19,13.65999984741211,13.920000076293945,13.260000228881836,13.359999656677246,13.253198623657227,12224300
2019-12-20,12.399999618530273,12.489999771118164,11.829999923706055,11.920000076293945,11.82470989227295,42882000
2019-12-23,11.869999885559082,12.039999961853027,11.699999809265137,11.8100004196167,11.71558952331543,13517700
2019-12-24,11.800000190734863,12.170000076293945,11.789999961853027,11.890000343322754,11.794950485229492,8194700
2019-12-26,12.0,12.010000228881836,11.319999694824219,11.430000305175781,11.338627815246582,17103000
2019-12-27,11.319999694824219,11.359999656677246,11.100000381469727,11.140000343322754,11.050946235656738,14545400
2019-12-30,11.180000305175781,11.470000267028809,11.15999984741211,11.239999771118164,11.150145530700684,11172600
2019-12-31,11.180000305175781,11.619999885559082,11.140000343322754,11.40999984741211,11.318785667419434,10890300
2020-01-02,11.550000190734863,11.600000381469727,10.720000267028809,10.819999694824219,10.733503341674805,18748300
2020-01-03,10.649999618530273,10.890000343322754,10.600000381469727,10.739999771118164,10.654143333435059,10491200
2020-01-06,10.699999809265137,11.0,10.640000343322754,10.789999961853027,10.703743934631348,9685400
2020-01-07,10.829999923706055,11.210000038146973,10.829999923706055,11.130000114440918,11.041027069091797,11908800
2020-01-08,11.130000114440918,11.270000457763672,11.020000457763672,11.100000381469727,11.011265754699707,9925100
2020-01-09,11.069999694824219,11.140000343322754,10.510000228881836,10.850000381469727,10.763262748718262,19887700
2020-01-10,10.8100004196167,10.9399995803833,10.640000343322754,10.720000267028809,10.634303092956543,9280600
2020-01-13,10.770000457763672,10.920000076293945,10.569999694824219,10.720000267028809,10.634303092956543,9398500
2020-01-14,10.699999809265137,11.069999694824219,10.619999885559082,10.90999984741211,10.822785377502441,16742400
2020-01-15,10.920000076293945,10.960000038146973,10.40999984741211,10.5,10.416061401367188,18100800
2020-01-16,10.550000190734863,10.670000076293945,10.430000305175781,10.460000038146973,10.376381874084473,10550300
2020-01-17,10.529999732971191,10.670000076293945,10.40999984741211,10.5,10.416061401367188,11548400
2020-01-21,10.510000228881836,10.510000228881836,9.8100004196167,9.949999809265137,9.870458602905273,26984700
2020-01-22,9.949999809265137,10.029999732971191,9.770000457763672,9.970000267028809,9.890300750732422,13877200
2020-01-23,9.800000190734863,9.829999923706055,9.430000305175781,9.6899995803833,9.612536430358887,17651600
2020-01-24,9.65999984741211,9.699999809265137,9.25,9.399999618530273,9.324854850769043,14788700
2020-01-27,9.119999885559082,9.239999771118164,9.0,9.09000015258789,9.017334938049316,14386700
2020-01-28,9.25,9.399999618530273,9.050000190734863,9.180000305175781,9.106614112854004,13827300
2020-01-29,9.1899995803833,9.5600004196167,9.1899995803833,9.319999694824219,9.245495796203613,14758700
2020-01-30,9.279999732971191,9.489999771118164,9.09000015258789,9.399999618530273,9.324854850769043,16616500
2020-01-31,9.550000190734863,9.680000305175781,9.050000190734863,9.069999694824219,8.997492790222168,27066800
2020-02-03,9.100000381469727,9.300000190734863,8.960000038146973,9.029999732971191,8.95781421661377,16133200
2020-02-04,9.199999809265137,9.380000114440918,9.09000015258789,9.119999885559082,9.047093391418457,14701100
2020-02-05,9.289999961853027,9.529999732971191,9.25,9.489999771118164,9.414135932922363,14971600
2020-02-06,9.859999656677246,9.880000114440918,9.399999618530273,9.4399995803833,9.36453628540039,12817200
2020-02-07,9.329999923706055,9.350000381469727,9.029999732971191,9.0600004196167,8.997105598449707,13366500
2020-02-10,9.020000457763672,9.130000114440918,8.869999885559082,9.010000228881836,8.947450637817383,11144200
